id,title,image,affirmation,cta
1,El impulso de hoy,assets/post-1.jpg,Mi disciplina me sostiene; mi luz me guía.,Haz 10 sentadillas con sonrisa 😊
2,Respira y avanza,assets/post-2.jpg,Inhalo calma, exhalo poder.,1 minuto de respiración profunda + estiramiento.
3,Pequeños pasos,assets/post-3.jpg,Hoy honro mi cuerpo con movimiento.,Camina 5 minutos ahora mismo.
4,El impulso de hoy,assets/post-1.jpg,Mi disciplina me sostiene; mi luz me guía.,Haz 10 sentadillas con sonrisa 😊
5,Respira y avanza,assets/post-2.jpg,Inhalo calma, exhalo poder.,1 minuto de respiración profunda + estiramiento.
6,Pequeños pasos,assets/post-3.jpg,Hoy honro mi cuerpo con movimiento.,Camina 5 minutos ahora mismo.
7,El impulso de hoy,assets/post-1.jpg,Mi disciplina me sostiene; mi luz me guía.,Haz 10 sentadillas con sonrisa 😊
8,Respira y avanza,assets/post-2.jpg,Inhalo calma, exhalo poder.,1 minuto de respiración profunda + estiramiento.
9,Pequeños pasos,assets/post-3.jpg,Hoy honro mi cuerpo con movimiento.,Camina 5 minutos ahora mismo.
10,El impulso de hoy,assets/post-1.jpg,Mi disciplina me sostiene; mi luz me guía.,Haz 10 sentadillas con sonrisa 😊
